cruise outts outte ints inte
00611 1999-09-15T02:00:00 1999-09-16T13:00:00 1999-09-24T14:25:00 1999-09-26T14:00:00
00612 1999-10-11T00:00:00 1999-10-13T00:00:00 1999-10-18T03:00:00 1999-10-20T07:00:00
00613 1999-10-27T06:00:00 1999-10-29T09:40:00 1999-11-12T10:30:00 1999-11-14T20:00:00
00614 1999-11-24T09:30:00 1999-11-26T09:30:00 1999-12-10T02:18:00 1999-12-12T05:00:00
00615 1999-12-17T23:36:00 1999-12-20T06:00:00 1999-12-24T00:20:00 1999-12-25T22:26:00
00619 2000-01-05T05:00:00 2000-01-07T10:54:00 2000-01-28T22:10:00 2000-01-31T05:15:00
00620 2000-02-07T03:31:04 2000-02-09T05:05:00 2000-02-23T17:00:00 2000-02-25T13:59:59
00621 2000-03-05T18:47:01 2000-03-08T04:12:00 2000-03-21T04:00:00 2000-03-23T09:22:39
00622 2000-03-30T00:37:16 2000-04-01T05:09:00 2000-04-17T02:36:00 2000-04-19T14:50:34
00623 2000-04-28T05:16:39 2000-05-01T04:00:00 2000-05-07T04:07:00 2000-05-09T12:55:46
00624 2000-05-18T01:39:25 2000-05-20T08:09:00 2000-06-11T19:12:00 2000-06-13T20:48:00
00625 2000-06-20T21:40:18 2000-06-23T04:40:00 2000-06-26T02:52:00 2000-06-28T08:47:27
00626 2000-07-04T14:08:24 2000-07-07T03:13:00 2000-07-08T22:40:00 2000-07-11T04:58:28
00627 2000-07-20T04:56:15 2000-07-22T12:14:00 2000-07-25T05:40:00 2000-07-27T16:19:48
00628 2000-08-02T22:52:05 2000-08-05T13:30:00 2000-08-08T01:55:00 2000-08-10T08:06:26
00629 2000-09-16T23:24:20 2000-09-19T12:00:00 2000-09-24T01:20:00 2000-09-26T11:54:37
00630 2000-10-02T23:06:01 2000-10-04T18:30:00 2000-10-10T11:45:00 2000-10-12T12:58:25
00631 2000-10-19T00:41:26 2000-10-21T04:19:00 2000-11-05T07:30:00 2000-11-07T07:05:06
00632 2000-11-14T03:40:27 2000-11-16T10:20:00 2000-11-30T18:15:00 2000-12-02T22:06:03
00633 2000-12-09T21:16:58 2000-12-11T22:45:00 2000-12-23T05:00:00 2000-12-25T04:25:39
00646 2001-01-06T08:06:59 2001-01-08T17:27:48 2001-01-28T02:39:36 2001-01-30T03:24:36
00647 2001-02-04T04:15:38 2001-02-06T08:46:21 2001-02-12T20:50:01 2001-02-14T20:58:27
00648 2001-02-21T23:08:10 2001-02-23T22:29:29 2001-03-11T06:10:00 2001-03-13T04:37:48
00649 2001-03-20T04:16:57 2001-03-22T10:00:00 2001-04-09T17:13:25 2001-04-12T03:42:28
00650 2001-04-22T07:36:33 2001-04-24T11:34:06 2001-06-01T21:15:15 2001-06-03T22:09:32
00651 2001-07-23T04:36:27 2001-07-25T09:27:45 2001-08-28T19:45:00 2001-08-30T09:03:43
00783 2001-06-13T02:46:19 2001-06-15T12:51:20 2001-07-12T21:11:20 2001-07-14T14:56:19
00784 2001-09-22T05:00:49 2001-09-24T07:00:00 2001-09-29T10:30:00 2001-10-01T14:15:24
00785 2001-10-08T21:04:19 2001-10-10T20:07:43 2001-10-17T21:17:42 2001-10-19T20:29:52
00786 2001-10-28T17:44:18 2001-10-30T23:36:24 2001-11-09T17:29:31 2001-11-11T17:24:31
00787 2001-12-04T06:34:00 2001-12-07T02:47:49 2001-12-24T07:38:45 2001-12-26T18:04:06
00807 2002-01-03T23:01:02 2002-01-06T08:30:00 2002-01-29T04:08:46 2002-01-31T01:31:10
00808 2002-02-08T02:00:05 2002-02-10T06:53:10 2002-02-28T05:27:42 2002-03-02T02:34:27
00809 2002-03-08T06:00:05 2002-03-10T04:51:49 2002-03-15T04:11:27 2002-03-17T00:30:20
00810 2002-03-23T21:06:20 2002-03-26T06:55:12 2002-03-30T03:14:00 2002-04-01T03:49:00
00811 2002-04-09T03:08:34 2002-04-11T08:15:28 2002-05-17T05:56:55 2002-05-19T03:01:55
00812 2002-07-06T20:00:31 2002-07-09T09:45:30 2002-07-19T22:45:53 2002-07-21T22:10:08
00813 2002-07-31T03:43:39 2002-08-02T14:39:52 2002-09-14T19:52:24 2002-09-16T18:01:48
00814 2002-09-25T00:43:24 2002-09-26T23:55:00 2002-10-04T07:00:00 2002-10-06T03:40:12
00815 2002-10-12T22:15:09 2002-10-14T18:59:39 2002-10-20T18:54:18 2002-10-22T16:37:31
00816 2002-11-05T02:58:50 2002-11-07T02:19:35 2002-11-14T01:58:15 2002-11-16T03:32:23
00817 2002-11-25T00:38:33 2002-11-26T22:22:40 2002-12-20T13:21:00 2002-12-22T20:26:48
00818 2003-01-01T19:08:49 2003-01-03T18:06:25 2003-02-05T04:32:23 2003-02-06T22:57:23
00819 2003-02-14T09:14:08 2003-02-16T14:50:00 2003-03-03T20:30:23 2003-03-06T02:43:23
00820 2003-03-13T20:20:15 2003-03-15T17:17:25 2003-03-26T23:47:59 2003-03-28T18:19:25
00821 2003-04-06T21:25:53 2003-04-09T00:40:00 2003-05-04T06:37:20 2003-05-06T08:02:20
00822 2003-05-11T21:28:30 2003-05-13T23:50:01 2003-06-02T06:32:14 2003-06-04T00:39:14
00823 2003-06-17T22:47:27 2003-06-20T07:55:42 2003-06-25T08:11:57 2003-06-27T07:01:56
00824 2003-09-24T01:55:39 2003-09-26T05:04:04 2003-10-02T05:00:00 2003-10-04T03:42:34
00825 2003-10-12T03:02:51 2003-10-14T00:44:46 2003-10-19T20:04:25 2003-10-21T23:14:28
00826 2003-11-09T04:38:17 2003-11-11T07:30:02 2003-11-15T21:32:32 2003-11-17T20:21:41
00827 2003-11-25T06:54:45 2003-11-27T06:41:36 2003-12-26T12:34:13 2003-12-28T09:29:13
01023 2004-01-03T00:41:12 2004-01-05T09:11:31 2004-02-04T04:52:52 2004-02-06T04:23:41
01024 2004-02-14T03:56:00 2004-02-24T18:31:17 2004-03-21T03:35:15 2004-03-23T01:10:43
01025 2004-03-29T22:05:23 2004-04-01T02:25:00 2004-04-09T13:15:00 2004-04-11T08:54:35
01026 2004-04-18T00:09:51 2004-04-21T09:15:00 2004-05-06T01:32:18 2004-05-08T13:07:18
01027 2004-05-15T20:55:13 2004-05-17T23:48:31 2004-05-23T11:21:04 2004-05-25T20:21:03
01028 2004-05-31T18:38:23 2004-06-03T07:00:00 2004-06-05T17:30:00 2004-06-07T22:58:59
01029 2004-06-13T18:53:00 2004-06-15T22:00:46 2004-06-24T06:45:00 2004-06-26T04:56:06
01030 2004-09-29T19:30:23 2004-10-02T14:17:32 2004-10-09T11:38:21 2004-10-11T20:03:43
01031 2004-10-19T02:25:12 2004-10-21T01:35:00 2004-10-26T23:11:27 2004-10-28T19:35:43
01087 2004-11-08T03:19:29 2004-11-10T08:25:00 2004-11-15T05:23:06 2004-11-17T03:44:34
01090 2004-11-29T04:15:00 2004-12-01T07:40:00 2004-12-18T16:30:00 2004-12-20T22:56:30
01093 2004-12-31T06:07:20 2005-01-02T06:34:40 2005-02-03T03:40:00 2005-02-05T02:32:45
01096 2005-02-13T02:01:09 2005-02-15T18:45:34 2005-03-08T21:00:00 2005-03-10T22:41:59
01325 2005-03-16T22:58:44 2005-03-18T21:52:12 2005-03-25T00:25:30 2005-03-27T08:56:45
01328 2005-04-03T20:17:49 2005-04-06T00:50:00 2005-04-12T06:30:00 2005-04-14T04:55:29
01331 2005-04-22T07:04:26 2005-04-24T12:30:00 2005-05-09T08:37:44 2005-05-11T05:36:07
01334 2005-05-19T20:10:05 2005-05-21T18:30:00 2005-06-06T10:40:36 2005-06-08T09:49:38
01337 2005-06-15T04:46:26 2005-06-18T07:26:19 2005-06-25T17:15:04 2005-06-27T14:52:28
01340 2005-09-17T17:45:53 2005-09-20T02:44:22 2005-09-24T09:39:40 2005-09-27T10:48:06
01342 2005-10-23T18:53:29 2005-10-25T23:37:27 2005-10-29T13:59:14 2005-11-01T17:13:19
01344 2005-11-29T00:11:11 2005-12-01T06:34:04 2005-12-24T09:38:49 2005-12-26T04:07:35
01346 2005-11-09T08:41:25 2005-11-11T19:20:00 2005-11-16T23:00:00 2005-11-19T12:14:59
01388 2006-01-02T18:45:15 2006-01-04T16:46:24 2006-02-06T04:11:53 2006-02-08T02:00:52
01390 2006-02-15T19:16:47 2006-02-17T19:04:10 2006-03-13T01:15:00 2006-03-15T09:04:41
01392 2006-04-09T23:39:26 2006-04-12T08:30:36 2006-04-16T03:49:31 2006-04-20T14:56:48
01394 2006-03-22T20:16:34 2006-03-28T07:31:41 2006-04-01T04:53:50 2006-04-03T03:41:08
01396 2006-04-26T18:02:48 2006-04-28T18:31:01 2006-05-04T01:06:26 2006-05-06T06:25:42
01398 2006-05-18T14:16:09 2006-05-20T22:15:14 2006-06-10T07:36:32 2006-06-12T23:32:00
01400 2006-06-20T21:28:42 2006-06-23T01:00:36 2006-06-29T05:01:33 2006-07-01T09:50:39
01402 2006-08-07T07:08:54 2006-08-09T07:22:18 2006-08-13T18:13:21 2006-08-15T15:21:54
01404 2006-09-17T04:02:33 2006-09-19T12:28:40 2006-09-26T06:47:26 2006-09-28T08:58:09
01406 2006-10-29T21:58:39 2006-10-31T17:18:00 2006-11-05T22:33:43 2006-11-07T21:52:12
01408 2006-10-06T18:31:02 2006-10-08T15:20:00 2006-10-14T01:57:56 2006-10-15T23:11:26
01410 2006-11-13T17:23:34 2006-11-15T17:13:00 2006-11-27T23:35:10 2006-11-29T19:58:40
01412 2006-12-06T18:28:10 2006-12-08T13:15:00 2006-12-10T17:28:00 2006-12-13T04:20:36
01414 2007-01-02T21:23:30 2007-01-04T22:40:00 2007-02-08T04:23:49 2007-02-09T23:47:27
01416 2007-02-18T04:03:06 2007-02-20T02:31:00 2007-02-26T21:38:05 2007-02-28T16:39:06
01418 2007-03-09T19:14:47 2007-03-11T21:00:00 2007-03-16T06:18:48 2007-03-18T05:18:06
01420 2007-03-24T22:05:06 2007-03-26T15:30:00 2007-04-03T11:40:43 2007-04-05T06:58:30
01422 2007-04-12T21:05:25 2007-04-14T21:18:41 2007-05-05T15:59:38 2007-05-07T20:56:19
01424 2007-05-13T17:28:56 2007-05-15T14:00:00 2007-05-31T07:16:28 2007-06-02T02:40:11
01426 2007-06-08T17:31:48 2007-06-10T18:00:00 2007-06-20T12:40:00 2007-06-22T15:37:54
01428 2007-09-15T20:58:34 2007-09-17T18:17:04 2007-09-25T23:17:00 2007-09-28T02:19:28
01430 2007-10-09T23:01:12 2007-10-11T21:16:53 2007-10-16T14:48:14 2007-10-18T08:37:24
01433 2007-11-05T16:02:10 2007-11-07T11:01:51 2007-11-13T19:46:46 2007-11-15T14:58:41
01435 2007-11-23T17:30:00 2007-11-25T15:25:00 2007-12-18T22:38:08 2007-12-20T17:21:47
01567 2003-08-17T20:44:43 2003-08-19T23:02:03 2003-08-30T17:07:04 2003-09-02T07:17:19
01574 2006-12-19T17:18:01 2006-12-21T15:09:41 2006-12-24T02:20:37 2006-12-25T22:39:19
01576 2007-12-31T22:06:58 2008-01-02T21:03:26 2008-02-06T04:49:19 2008-02-08T00:07:35
01578 2008-02-16T08:54:32 2008-02-18T06:26:10 2008-03-14T08:42:06 2008-03-16T05:11:19
01580 2008-03-23T19:28:23 2008-03-25T21:02:09 2008-04-01T04:58:05 2008-04-03T04:11:46
01582 2008-04-09T20:47:33 2008-04-11T17:45:18 2008-04-20T02:56:00 2008-04-22T07:42:40
01584 2008-04-28T22:15:20 2008-04-30T19:21:52 2008-05-22T09:57:12 2008-05-24T10:39:33
